教授,研究所
員工,公司
公司,台北
主管,公司
車,台灣
媽媽,家
納粹,德國
人,台灣
人民,台灣
學生,台大
人,公司
狗,家
教授,大學
學生,校園
房子,學校
人,大陸
菜,菜市場
電腦,學校
人,家
父母,家
鯉魚,池塘
產品,公司
雜誌,圖書館
男生,宿舍
教授,辦公室
人,房間
學生,學校
石油,伊拉克
玉山,台灣
小朋友,幼稚園
學生,大學
老師,幼稚園
電視,公司
資料,公司
實驗室,大學
顧客,餐廳
我,圖書館
市政府,台北
地,大陸
人,日本
城隍廟,新竹
東京,日本
地鐵,東京
人,電影院
螢幕,電影院
醫生,婦產科
中壢,桃園
同學,學校
教授,台大
國民黨,台灣
官員,國家
電話,飯店
人,酒店
人,飯店
水,海洋
鯨魚,海洋
鯊魚,海洋
人,城
飛機,機場
導遊,旅行社
皇帝,陵墓
病人,醫院
家屬,醫院
學生,國小
校長,學校
老師,學校
人,學校
房子,台灣
研究生,研究所
飛彈,中共
小吃,夜市
夜市,台灣
名牌,百貨公司
商品,百貨公司
學生,高中
運動會,學校
家長,學校
糖果,雜貨店
書,家
男生,教室
公園,都市
地,房子
博物館,美國
館長,博物館
醫生,醫院
人,美國
日本人,日本
人民,共和國
人民,中華
中國人,中國
台灣人,台灣
人民,國家
共產黨,大陸
工人,工廠
校長,大學
人,華盛頓
大陸,南極
電腦,大學
汽車,公司
學生,政大
動物,台灣
人類,地球
櫻花鉤吻鮭,台灣
人,動物園
手術,醫院
北京,中國
上海,中國
台北,台灣
燈,房間
社團,校園
電腦,公司
罪犯,警察局
罪犯,刑事局
鐵軌,車站
人,遊樂場
交響樂團,音樂廳
山,台灣
舊金山,美國
大阪,日本
八卦山,彰化
書,學校
羽球,體育館
棒球,球場
農民,農村
人,醫院
市長,高雄市
辦公室,公司
文件,公司
文件,辦公室
展示,博物館
簡介,博物館
賓州,美國
旅客,機場
公司,高雄
場地,學校
學生,淡江
經理,公司
黑人,美國
人,亞洲
人,市場
畫,美術館
網路,宿舍
宿舍,學校
雜誌,家
學生,教室
救護車,醫院
醫師,醫院
病人,診所
藥物,醫院
校友,學校
雪,合歡山
門,家
校門,學校
大門,學校
教室,學校
工友,學校
操場,學校
同學,教室
藝術品,博物館
公園,城市
人,公園
瓷器,中國
電話,公司
車子,家
學校,台灣
學校,台北
草,公園
遊客,公園
同學,操場
小朋友,學校
記者,台灣
高山,台灣
電話,家
教師,學校
台大,台灣
醫院,台北
被告,法院
原告,法院
車,馬路
水,河
熊,亞洲
老闆,商店
院長,醫院
台大,台北
醫院,台大
醫院,台中
醫院,高雄
韓國人,韓國
上海,大陸
機車,道路
學生,補習班
台南,台灣
班長,學校
女生,宿舍
中文系,台大
同事,公司
圖書館,大學
書櫃,書房
筆,公司
人,辦公室
紐約,美國
比賽,體育館
學生,活動中心
助教,學校
書店,百貨公司
冷氣,百貨公司
警察,警察局
報紙,公司
台商,大陸
盆地,台北
弟弟,家
小孩,小學
漁港,基隆
學生,宿舍
小孩,家
圖書館,學校
資料,圖書館
人,馬路
小朋友,操場
老師,教室
花,花園
螞蟻,花園
公園,台北
銀行,學校
郵差,郵局
人,東京
人,體育館
觀眾,體育館
人,球場
經理,飯店
木乃伊,埃及
玩具,博物館
聖母,教堂
人,教堂
人,花園
花園,城堡
神殿,希臘
駱駝,沙漠
模型,博物館
猶太人,以色列
老闆,餐廳
公主,城堡
警員,警察局
捷運,高雄
同性戀,美國
熊貓,四川
展覽,美術館
檢察官,地檢署
醫學院,台大
教室,台大
網路,圖書館
電腦,圖書館
校園,學校
樓梯,公寓
京都,日本
水,水溝
學生,球場
消防員,消防局
父母,家庭
垃圾,垃圾場
星星,天
爸爸,家
老師,辦公室
人,台北
人,教育部
阿里山,台灣
鳥,天空
電影,圖書館
老闆,公司
資料,內政部
場地,國小
跑道,操場
香蕉,旗山鎮
人,車站
小朋友,動物園
寶寶,家
考試,學校
資料,調查局
浴室,家
廚房,家
日出,阿里山
作業,學校
人,台大
人,餐廳
電話,辦公室
捷運,台北
車站,台北
百貨公司,台灣
讀者,圖書館
小姐,圖書館
美國人,美國
廣州,大陸
北京,大陸
校長,政大
社團,大學
餐廳,百貨公司
漫畫,圖書館
媽媽,廚房
植物,家
植物,花園
和尚,寺廟
倫敦,英國
社團,學校
樂器,樂團
廚房,客廳
家具,房子
錶,當舖
垃圾,家
樑柱,房子
食物,餐廳
人,廚房
牛肉麵,麵店
魚丸,淡水
牛肉麵,中壢
主任,學校
跑道,運動場
場地,公園
教授,政大
妹妹,家
哥哥,家
宿舍,大學
房間,宿舍
咖啡,咖啡館
老闆,咖啡館
學生,中興
場地,操場
學生,安親班
人,屋子
電視,家
上班族,公司
保全,公司
客戶,公司
秘書,公司
稻米,台灣
電腦,辦公室
設備,辦公室
書,圖書館
人,圖書館
書籍,圖書館
小朋友,教室
學生,圖書館
助教,教室
電腦,教室
書,書房
總裁,公司
法官,法院
教室,大學
老師,學院
地球,宇宙
老闆,飯店
食物,飯店
迪士尼,日本
病患,醫院
火車,車站
教授,學校
參考書,書店
同學,大學
小孩,學校
人,健身房
行李,機場
床,房間
大廳,旅館
櫃檯,餐廳
籃球,學校
美食,台北
針筒,醫院
小孩,醫院
陵墓,台灣
爺爺,家
主人,家
垃圾,攤販
大樓,台北
辦公室,大樓
房子,台中
人,台中
房子,台北
警察,警局
音樂,音樂廳
軍人,台灣
老師,大學
校長,校園
操場,校園
人,銀行
人,彰化
藥,醫院
大學,花蓮
石油,阿拉伯
董事長,公司
印表機,公司
動物,森林
房子,部落
窗戶,屋子
實驗室,學校
女生,學校
白人,美國
公務員,總統府
飲料,超商
教官,大學
學生,體育館
萬物,宇宙
走廊,學校
人,廁所
無尾熊,澳洲
鳥園,動物園
書,書店
人,四川
小孩,托兒所
樹木,山
活動中心,學校
朋友,餐廳
侍者,餐廳
古蹟,台南
老人,醫院
古物,博物館
鳥,公園
公園,郊外
運動場,學校
兒童,公園
人,蘭陽
車,停車場
火車站,台北
雪梨,澳洲
總統,台灣
花,山
廁所,宿舍
老街,淡水
百貨公司,台北
飯店,台北
美食街,百貨公司
餐廳,飯店
美食,餐廳
魚,水庫
草莓,苗栗
草莓,大湖
汽車,城市
體育館,學校
學生,成大
民進黨,台灣
電腦,銀行
櫃檯,銀行
故宮,臺北
員工,工廠
主管,辦公室
睡覺,房間
人,馬來西亞
制服,學校
化妝品,百貨公司
專櫃,百貨公司
公園,住宅區
酒保,酒吧
國旗,總統府
館長,圖書館
校長,辦公室
廁所,教室
洗手臺,廁所
老師,總務處
豬,養豬場
奶奶,廚房
花,路
水,游泳池
櫃子,圖書館
鑰匙,櫃子
花,學校
錢,學校
房間,廚房
教授,實驗室
教授,研究室
學生,研究室
家具,家
文物,博物館
樹,山林
松鼠,樹
獵豹,動物園
山貓,動物園
老師,實驗室
影展,坎城
畫作,美術館
人,城市
馬路,台北
公司,工業區
漁船,港口
書,誠品
皇帝,國家
管理員,動物園
動物,動物園
大氣,地球
人,宿舍
警察,台灣
牛,牧場
羊,牧場
學生,餐廳
餐具,餐廳
國旗,國家
便利商店,學校
攤販,夜市
小吃攤,夜市
科博館,台中
棉被,家
講師,台大
餐桌,餐廳
星星,天空
同學,圖書館
行人,天橋
男人,紐約
義工,慈濟
服務員,餐廳
議長,縣議會
人類,宇宙
搶孤,頭城鎮
主管,央行
水,浴室
解放軍,大陸
床,賓館
車,旅館
小孩子,幼稚園
人,泰國
武器,中共
助教,補習班
電腦,台灣
主任,辦公室
雜草,花圃
錢,宿舍
客廳,家
垃圾,垃圾堆
人,教務處
老師,系辦
馬桶,廁所
水箱,廁所
建築物,學校
魚,魚缸
主委,陸委會
立法委員,政府
辦公室,學校
姑娘,阿里山
雲海,阿里山
手錶,瑞士
香,廟
嬰兒,家
護士,醫院
澳門,中國
立委,立法院
研究生,大學
廚房,餐廳
餐具,廚房
水,廚房
晚餐,廚房
菜,廚房
瓦斯爐,廚房
微波爐,廚房
台北,亞洲
家,公寓
床,臥室
歷史系,台大
資產,銀行
錢,銀行
香港人,香港
物品,家
和服,日本
老師,研究室
安全島,馬路
車,車站
人,博物館
藝術品,羅浮宮
研究生,政大
藥師,藥局
斑馬,動物園
長頸鹿,動物園
獅子,動物園
羚羊,動物園
山羊,動物園
執政黨,國家
鐵路,美國
公車,車站
彩虹,天空
軌道,捷運
秘書長,總統府
公司,科學園區
大象,動物園
林旺,動物園
象,亞洲
標本,博物館
員工,動物園
錢,政府
鈔票,銀行
病毒,醫院
病床,醫院
人,花蓮
發言人,公司
報紙,辦公室
資料,辦公室
汽車,工廠
警察,派出所
考試,高中
輪椅,醫院
腳踏車,家
皇后,皇室
女王,英國
公務員,學校
夜市,士林
夜市,公館
魚,魚池
魚,池
會計,公司
文獻,圖書館
房間,旅館
蟑螂,廁所
辦公室,飯店
機器,工廠
零件,工廠
飛彈,以色列
人,伊拉克
旅客,車廂
飲料,酒吧
爸爸,家庭
媽媽,家庭
哥哥,家庭
弟弟,家庭
書,房間
汽車,台北
車,台北
泥巴,公園
美食,台灣
課本,學校
學生,北一女
球員,球場
車子,車站
水,台灣
風景區,大坑
遊樂區,公園
姊姊,家
教官,學校
月球,太空
地球,太空
老闆,工廠
珊瑚,海
海龜,海底
組長,學校
水,地球
洗碗精,廚房
貝殼,海
德國人,德國
神社,日本
水果,市場
肉,市場
博物館,台中
布希,白宮
武器,美國
朋友,學校
鍋,廚房
設備,實驗室
廚師,廚房
食物,廚房
食物,家
米,廚房
冰箱,廚房
抽油煙機,廚房
廚餘,廚房
油,廚房
污水,下水道
蟑螂,廚房
筆,教室
暢銷書,書局
呂秀蓮,台灣
情侶,校園
情侶,圖書館
辦公室,系館
椅子,餐廳
水,池子
新生兒,醫院
人,棒球場
食品,百貨公司
商品,商店
人,利比亞
領土,國家
人,陽明山
教授,教室
人,書店
病房,醫院
行人,馬路
護理長,醫院
豬肉,市場
花圃,教室
腳踏車,台大
腳踏車,學校
阿里山,臺灣
日月潭,臺灣
垃圾,海邊
餐廳,旅館
人,美術館
行政院,台北市
小孩,幼稚園
電腦,教育部
福利社,學校
食物,商店
急診室,醫院
病人,病房
車,花蓮
館員,圖書館
汽車,馬路
溫泉,飯店
爸,家
桌子,客廳
動物園,台北
水,水池
文具,教室
樹,森林
僧侶,寺廟
人,海邊
打球,球場
畫展,美術館
女人,房子
義工,醫院
貝殼,海灘
牆壁,家
同學,校園
體育場,學校
猴子,動物園
泡麵,雜貨店
鋼琴,音樂廳
學生,禮堂
座位,戲院
彭淮南,央行
資料,主計處
錢,國家
垃圾,公司
住宅,城市
日用品,商店
村落,山
動物園,壽山
猴子,壽山
老鷹,天空
老闆,店
老虎,森林
同事,辦公室
校園,淡江
游泳池,飯店
人,印度
人,教室
北海道,日本
車子,學校
樹,房子
服務生,餐廳
護士,急診室
電玩,遊樂場
修女,教會
人,旅館
機密,公司
老虎,動物園
書,出版社
人,房屋
餐廳,公司
管理員,大樓
地,旅館
水,海灘
墾丁,台灣
研究室,學校
房子,美國
老師,校園
台北市,台灣
鐵塔,巴黎
顧客,公司
地震,日本
石油,加油站
油,加油站
球,操場
站長,火車站
廁所,車站
餐桌,家
人,補習班
發言人,總統府
餐廳,學校
司令台,操場
刀,廚房
老人,家
車子,馬路
包裹,郵局
服務生,旅館
柏油,馬路
主人,房子
鑽石,非洲
小鳥,公園
印表機,辦公室
學生,辦公室
人,公寓
農民,農田
保險箱,銀行
老師,女中
霓虹燈,舞廳
小孩,廣場
袋鼠,澳洲
河流,森林
媽媽,房間
電視,客廳
展示品,博物館
公文,行政院
車子,車行
同學,同學會
照片,房間
大象,叢林
精神科,醫院
床,醫院
人,村落
人,火車站
棺材,墳場
大學,城市
垃圾,教室
青菜,市場
高粱酒,金門
磁磚,廁所
玫瑰,花園
衣服,房間
銀河系,宇宙
瓦斯,廚房
牧師,教堂
展覽,博物館
美術館,台中
樹,庭院
教堂,東海
東海,台中
校慶,學校
房間,房子
老婆,家
菜餚,餐廳
衣服,家
碗,餐廳
杯子,餐廳
房子,鄉下
室友,寢室
房子,大陸
公安,大陸
電梯,旅館
電影,戲院
足球,學校
人,操場
器材,學校
助教,大學
演員,好萊塢
藥,診所
儀器,醫院
卡通,迪士尼
屍體,戰場
水庫,阿公店
洗臉台,浴室
原住民,台東
溫室,植物園
犀牛,非洲
機車,停車場
秘書,總統府
職員,公司
隕石,外太空
醫院,台南
地毯,客廳
師長,校園
老師,高中
時刻表,火車站
垃圾,地球
食物,地球
病歷,醫院
汽車,停車場
停車場,學校
房間,公寓
人,非洲
總統,總統府
漫畫,租書店
律師,法院
野獸,森林
房子,都市
廚房,房子
流理台,廚房
廚具,廚房
檳榔,臺灣
員工,辦公室
小朋友,遊樂園
市政府,台中
部長,內政部
住戶,公寓
館長,美術館
商店,觀光區
學生,實驗室
窗,家
成績單,學校
白人,英國
人,百貨公司
鴿子,廣場
海,北極
陸地,南極
服務生,賓館
解說員,博物館
保鮮膜,廚房
觀眾,美術館
人,商場
醫生,診所
傳真機,辦公室
影印機,辦公室
顯微鏡,實驗室
錢,郵局
耶穌,天主教
魚,大海
餐廳,機場
員工,餐廳
作業,高中
考卷,補習班
現金,銀行
研究生,實驗室
報告,實驗室
茶几,客廳
農民,農場
選手,球場
社工,鄉公所
議員,縣議會
機車,車站
立法委員,立法院
舞者,舞台
郵件,郵局
基金,銀行
課本,大學
海,海邊
珊瑚,海邊
卡車,公路
人,機場
電視,學校
房間,飯店
浴室,飯店
客人,飯店
浴袍,飯店
公園,台中
精品店,百貨公司
逢甲,台中
涼亭,公園
樹,公園
車站,台中
藝妓,日本
海,加州
管理員,圖書館
社工,醫院
人,客廳
櫃台,銀行
菜,餐館
亞洲,地球
同學,辦公室
座位,電影院
新光三越,台北
水,河川
樹,台灣
房子,紐約
綿羊,牧場
花,花圃
奶奶,家庭
資料,縣政府
公司,市區
醫學系,台大
熊貓,動物園
猩猩,動物園
熊,森林
老鼠,森林
浴室,宿舍
熱水,浴室
小丑,馬戲團
水,湖
酒吧,飯店
書,書局
鯨魚,大海
小朋友,育幼院
海洋,地球
高雄市,台灣
原住民,部落
房子,香港
人,籃球場
電腦,診所
藥品,醫院
雞蛋,市場
花,公園
記者,總統府
總統府,台北
大門,大樓
生物,地球
水,海
菜,大陸
椰林,臺大
教練,學校
樹木,森林
樹木,公園
鳥兒,森林
車票,車站
視聽室,圖書館
耶穌,教堂
十字架,教堂
火車,火車站
套房,飯店
水,飯店
沙灘,夏威夷
犯人,監獄
窗戶,房間
商品,店面
電車,日本
生魚片,日本
壽司,日本
櫃台,機場
機場,日本
溫泉,日本
長江,大陸
豬腳,德國
寵物,公園
樹,叢林
植物,公園
櫻花,日本
教務處,學校
研究所,成大
飯,餐館
神父,教堂
酒,餐館
酒,酒吧
盤子,廚房
人,浴室
登山客,山
海關,機場
時鐘,車站
荷葉,池塘
昆蟲,草叢
父親,公司
護士,衛生所
小朋友,遊樂場
玩具,遊樂場
民眾,動物園
檢察官,檢察署
桌椅,餐廳
老師,房子
花,溫室
人,臥室
雲朵,天空
蝦,海
海鮮,市場
球,球場
機車,台北
大學生,宿舍
便當,餐廳
樹,後院
藝人,舞台
櫃台,旅館
官員,市政府
下屬,公司
音樂,唱片行
音樂,音樂會
電視,教室
影片,圖書館
學生,女中
老人,老人院
牆壁,教室
學生,操場
收銀機,餐廳
圖書館,淡江
錢,錢莊
客人,酒店
沙,沙漠
副教授,學校
販賣機,學校
經理,辦公室
學生,書局
果樹,果園
果農,果園
販賣機,公司
人民幣,大陸
電梯,教室
課桌椅,教室
黑洞,宇宙
寶特瓶,商店
副總統,總統府
河馬,河
合作社,學校
麵包,麵包店
人,麵包店
樹木,操場
腳踏車,公司
電腦,宿舍
大樓,首都
健身房,飯店
冷氣,寢室
樹,花蓮
人,立法院
球場,體育館
場地,體育館
房間,酒店
報紙,客廳
論文,圖書館
大哥,幫派
人,賭場
郵票,郵局
信件,郵局
服務生,飯店
病人,婦產科
海豚,海
西西里島,義大利
花,陽台
畫作,博物館
期刊,圖書館
經理,銀行
神像,廟
信,郵局
病患,榮總
球,棒球場
警衛,公司
清潔工,公司
沙發,客廳
盪鞦韆,學校
